trans-eff,die-off,shedding,infectivity,A(contact),P_T(min),P_T(avg),P_T(max),N_T(min),N_T(avg),N_T(max),Recover_cnt(avg),P_T/(P_T+N_T)
1.0,0.36787944117144233,1.0,1.0,735.7588823428847,1.3,1.5500000000000003,1.8,285.3,285.56,286.4,5.29,0.005398627703667585
1.0,0.36787944117144233,1.0,0.36787944117144233,735.7588823428847,0.0,0.02,0.1,286.9,286.98,287.0,4.340000000000001,6.968641114982578e-05
1.0,0.36787944117144233,1.0,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.4400000000000004,0.0
1.0,0.36787944117144233,1.0,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.15,0.0
1.0,0.36787944117144233,1.0,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.07,0.0
1.0,0.36787944117144233,2.718281828459045,1.0,735.7588823428847,2.0,2.36,2.9,284.4,284.93,285.0,0.22000000000000003,0.00821469595182568
1.0,0.36787944117144233,2.718281828459045,0.36787944117144233,735.7588823428847,0.8,1.4300000000000002,1.8,285.2,285.58000000000004,286.3,5.24,0.00498240479425804
1.0,0.36787944117144233,2.718281828459045,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,4.040000000000001,0.0
1.0,0.36787944117144233,2.718281828459045,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.6100000000000003,0.0
1.0,0.36787944117144233,2.718281828459045,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.1000000000000005,0.0
1.0,0.36787944117144233,7.3890560989306495,1.0,735.7588823428847,2.0,2.6100000000000003,3.6,283.7,284.62,285.0,0.0,0.009086794554886328
1.0,0.36787944117144233,7.3890560989306495,0.36787944117144233,735.7588823428847,2.0,2.38,3.9,284.5,284.8,285.0,0.35,0.008287485200919284
1.0,0.36787944117144233,7.3890560989306495,0.1353352832366127,735.7588823428847,0.7,1.47,1.8,285.3,285.61,286.3,5.5600000000000005,0.005120523895778179
1.0,0.36787944117144233,7.3890560989306495,0.04978706836786395,735.7588823428847,0.0,0.01,0.1,287.0,287.0,287.0,4.21,3.484199156823804e-05
1.0,0.36787944117144233,7.3890560989306495,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.55,0.0
1.0,0.36787944117144233,0.36787944117144233,1.0,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,3.7699999999999996,0.0
1.0,0.36787944117144233,0.36787944117144233,0.36787944117144233,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.46,0.0
1.0,0.36787944117144233,0.36787944117144233,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.1,0.0
1.0,0.36787944117144233,0.36787944117144233,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.03,0.0
1.0,0.36787944117144233,0.36787944117144233,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.0100000000000002,0.0
1.0,0.36787944117144233,0.1353352832366127,1.0,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.5100000000000002,0.0
1.0,0.36787944117144233,0.1353352832366127,0.36787944117144233,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.12,0.0
1.0,0.36787944117144233,0.1353352832366127,0.1353352832366127,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.0100000000000002,0.0
1.0,0.36787944117144233,0.1353352832366127,0.04978706836786395,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.0599999999999996,0.0
1.0,0.36787944117144233,0.1353352832366127,0.018315638888734186,735.7588823428847,0.0,0.0,0.0,287.0,287.0,287.0,2.0200000000000005,0.0
1.0,0.1353352832366127,1.0,1.0,735.7588823428847,1.7,2.2199999999999998,2.8,284.6,284.92999999999995,285.3,2.1100000000000003,0.00773115096639387
1.0,0.1353352832366127,1.0,0.36787944117144233,735.7588823428847,0.9,1.15,1.4,285.6,285.85,286.1,9.45,0.004006968641114982
1.0,0.1353352832366127,1.0,0.1353352832366127,735.7588823428847,0.0,0.030000000000000006,0.1,286.9,286.98,287.0,4.53,0.00010452597470471415
